Country/Region,Latitude,Longitude,Continent
Puerto Rico,18.2214149,-66.41328179513847,North America
Qatar,25.3336984,51.2295295,Asia
Republic of Ireland,52.865196,-7.9794599,Europe
Republic of the Congo,-0.7264327,15.6419155,Africa
Reunion,-21.1309332,55.5265771,Africa
Romania,45.9852129,24.6859225,Europe
Russia,64.6863136,97.7453061,Europe
Rwanda,-1.9646631,30.0644358,Africa
Saint Barthelemy,17.9036287,-62.811568843006896,North America
Saint Lucia,13.8250489,-60.975036,North America
Saint Vincent and the Grenadines,12.90447,-61.2765569,North America
San Marino,43.9458623,12.458306,Europe
Saudi Arabia,25.6242618,42.3528328,Asia
Senegal,14.4750607,-14.4529612,Africa
Serbia,44.024322850000004,21.07657433209902,Europe
Seychelles,-4.6574977,55.4540146,Africa
Singapore,1.357107,103.8194992,Asia
Slovakia,48.7411522,19.4528646,Europe
Slovenia,45.8133113,14.4808369,Europe
Somalia,8.3676771,49.083416,Africa
South Africa,-28.8166236,24.991639,Africa
South Korea,36.638392,127.6961188,Asia
Spain,39.3262345,-4.8380649,Europe
Sri Lanka,7.5554942,80.7137847,Asia
St. Martin,48.5683066,6.7539988,North America
Sudan,14.5844444,29.4917691,Africa
Suriname,4.1413025,-56.0771187,South America
Sweden,59.6749712,14.5208584,Europe
Switzerland,46.7985624,8.2319736,Europe
Syria,34.6401861,39.0494106,Asia
Taiwan,23.9739374,120.9820179,Asia
Tanzania,-6.5247123,35.7878438,Africa
Thailand,14.8971921,100.83273,Asia
Togo,8.7800265,1.0199765,Africa
Trinidad and Tobago,10.8677845,-60.9821067,North America
Tunisia,33.8439408,9.400138,Africa
Turkey,38.9597594,34.9249653,Asia
USA,39.7837304,-100.4458825,North America
Uganda,1.5333554,32.2166578,Africa
Ukraine,49.4871968,31.2718321,Europe
United Arab Emirates,24.0002488,53.9994829,Asia
United Kingdom,54.7023545,-3.2765753,Europe
Uruguay,-32.8755548,-56.0201525,South America
Uzbekistan,41.32373,63.9528098,Asia
Vatican City,41.90381485,12.453152716779822,Europe
Venezuela,8.0018709,-66.1109318,South America
Vietnam,13.2904027,108.4265113,Asia
Virgin Islands,17.789187,-64.7080574,North America
Zambia,-14.5186239,27.5599164,Africa
Zimbabwe,-18.4554963,29.7468414,Africa
